name,address,category
City Ideal School,,school
জনতাবাগ উচ্চ বিদ্যালয়,,school
Muktadhara Pre-Cadet School মুক্তধারা প্রি-ক্যাডেট স্কুল,,school
Matuail Adorsho Kidergarden & High School,"Mridhabari-Shonirakhra Road, Dhaka, 1362, BD",school
Jamia Islamia Darul Ulum Madania,"312, Dhaka, BD",college
এ.কে. স্কুল অ্যান্ড কলেজ (২য় শাখা),"Dania Club Road, Dhaka, 1236",school
A.K. School And College (Main Campus),"Dania-Dolairpar Road, Dhaka, 1236",college
Shamsul Islam Ideal School and College,"Guru Soroni, Dhaka, 1236",school
আদর্শ উচ্চ বিদ্যালয়,"আদর্শ স্কুল রোড, Dhaka, 1236",college
স্টার লাইট প্রি ক্যাডেট স্কুল,,school
S.R. Model School,,school
এ.কে. স্কুল অ্যান্ড কলেজ (কলেজ ক্যাম্পাস),"ঢাকা - ডেমরা মহাসড়ক, Dhaka",college
Mukul's Care,"595, দনিয়া-ধোলাইপার রোড, Dhaka, 1236, BD",college
"Scholar Pre-Cadet & High School, Dhaka - Barisal Highway, Dhaka",,school
"Royal Society Residential Area, Residential college, Dhaka - Barisal Highway, Dhaka",,college
"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",,school
"Jamiatul Abrar Madrasa, Kindergarten, Dhonia - Dholaipar Rd, Dhaka",,madrasa
"Bangladesh Water Development Board Primary School, South Jatrabari, Dhaka",,school
"Metropolitan School & College, South Jatrabari, Dhaka",,school
"Cambrian College South Jatrabari, South Jatrabari, Dhaka",,college
Udvash Jatrabari Branch,Shahid Faruk Road,school
দনিয়া বিশ্ববিদ্যালয় কলেজ,"Dhaka–Chittagong Highway, Dhaka, 1236",college
বর্ণমালা আদর্শ উচ্চ বিদ্যালয় ও কলেজ,"Shanir Akhra, Dhaka, 1236",college
Dolairpar High School,"Mirhajirbag Road, Dhaka",school
এ.কে. স্কুল অ্যান্ড কলেজ (প্রধান শাখা),"Dania-Dolairpar Road, Dhaka, 1236",college
Dr. Mahbubur Rahman Mollah College,"Dhaka, 1362",college
Dolairpar Primery School,"West Dolairpar, dolaipar high school road, Dhaka, 1204",school
Dolairpar High School. Building-1,"dolaipar high school road, Dhaka, 1204",school
Dhaka International Diploma Medical College,,college
